ISO 639-3,ISO 639-1,Language Name,Alternate Names
aoa,,Angolar,
aob,,Abom,
aoc,,Pemon,
aod,,Andarum,
aoe,,Angal Enen,
aof,,Bragat,
aog,,Angoram,
aoh,,Arma,
aoi,,Anindilyakwa,
aoj,,Mufian,
aok,,Arho,
aol,,Alor,
aom,,Omie,
aon,,Bumbita Arapesh,
aor,,Aore,
aos,,Taikat,
aot,,Atong <India>,
aou,,A'ou,
aox,,Atorada,
aoz,,Uab Meto,
apb,,Sa'a,
apc,,North Levantine Arabic,
apd,,Sudanese Arabic,Sudanese
ape,,Bukiyip,
apf,,Pahanan Agta,
apg,,Ampanang,
aph,,Athpariya,
api,,Apiaka,
apj,,Jicarilla Apache,
apk,,Kiowa Apache,
apl,,Lipan Apache,
apm,,Mescalero-Chiricahua Apache,
apn,,Apinaye,
apo,,Ambul,
app,,Apma,
apq,,A-Pucikwar,
apr,,Arop-Lokep,
aps,,Arop-Sissano,
apt,,Apatani,
apu,,Apurina,
apv,,Alapmunte,
apw,,Western Apache,
apx,,Aputai,
apy,,Apalai,
apz,,Safeyoka,
aqc,,Archi,
aqd,,Ampari Dogon,
aqg,,Arigidi,
aqm,,Atohwaim,
aqn,,Northern Alta,
aqp,,Atakapa,
aqr,,Arha,
aqt,,Angaite,
aqz,,Akuntsu,
ara,ar,Arabic,
arb,,Standard Arabic, Al-'Arabiyya; Literary Arabic
arc,,Aramaic,
ard,,Arabana,
are,,Western Arrarnta,
arg,an,Aragonese,
arh,,Arhuaco,
ari,,Arikara,
arj,,Arapaso,
ark,,Arikapu,
arl,,Arabela,
arn,,Mapudungun,
aro,,Araona,
arp,,Arapaho,
arq,,Algerian Arabic, Algerian; Darja
arr,,Karo <Brazil>,
ars,,Najdi Arabic,
aru,,Arua <Amazonas State>,
arv,,Arbore,
arw,,Arawak,
arx,,Arua <Rodonia State>,
ary,,Moroccan Arabic,Maghrebi Arabic; Maghribi; Moroccan Arabic; Moroccan Colloquial Arabic; Moroccan Dareja; Moroccan Darija; Moroccan Dereja
arz,,Egyptian Arabic,Lower Egypt Arabic; Massry; Modern Egyptian; Normal Egyptian Arabic
asa,,Asu <Tanzania>,
asb,,Assiniboine,
asc,,Casuarina Coast Asmat,
asd,,Asas,
ase,,American Sign Language,Ameslan
asf,,Auslan,Australian Sign Language
asg,,Cishingini,
ash,,Abishira,
asi,,Buruwai,
asj,,Sari,
ask,,Ashkun,
asl,,Asilulu,
asm,as,Assamese,
asn,,Xingu Asurini,
aso,,Dano,
asp,,Algerian Sign Language,
asq,,Austrian Sign Language,
asr,,Asuri,
ass,,Ipulo,
ast,,Asturian,
asu,,Tocantins Asurini,
asv,,Asoa,
asw,,Australian Aborigines Sign Language,
asx,,Muratayak,
asy,,Yaosakor Asmat,
asz,,As,
ata,,Pele-Ata,
atb,,Zaiwa,
atc,,Atsahuaca,
atd,,Ata Manobo,
ate,,Atemble,
atg,,Ivbie North-Okpela-Arhe,
ati,,Attie,
atj,,Atikamekw,
atk,,Ati,
atl,,Mt. Iraya Agta,
atm,,Ata,
atn,,Ashtiani,
ato,,Atong <Cameroon>,
atp,,Pudtol Atta,
atq,,Aralle-Tabulahan,
atr,,Waimiri-Atroari,
ats,,Gros Ventre,
att,,Pamplona Atta,
atu,,Reel,
atv,,Northern Altai,
atw,,Atsugewi,
atx,,Arutani,
aty,,Aneityum,
atz,,Arta,
aua,,Asumboa,
aub,,Alugu,
auc,,Waorani,
aud,,Anuta,
aug,,Aguna,
auh,,Aushi,
aui,,Anuki,
auj,,Awjilah,
auk,,Heyo,
aul,,Aulua,
aum,,Asu <Nigeria>,
aun,,Molmo One,
auo,,Auyokawa,
aup,,Makayam,
auq,,Anus,
aur,,Aruek,
aut,,Austral,
auu,,Auye,
auw,,Awyi,
aux,,Aura,
auy,,Awiyaana,
auz,,Uzbeki Arabic,
ava,av,Avaric,
avb,,Avau,
avd,,Alviri-Vidari,
ave,ae,Avestan,
avi,,Avikam,
avk,,Kotava,
avl,,Eastern Egyptian Bedawi Arabic,
avm,,Angkamuthi,
avn,,Avatime,
avo,,Agavotaguerra,
avs,,Aushiri,
avt,,Au,
avu,,Avokaya,
avv,,Ava-Canoeiro,
awa,,Awadhi,
awb,,Awa <Papua New Guinea>,
awc,,Cicipu,
awe,,Aweti,
awg,,Anguthimri,
awh,,Awbono,
awi,,Aekyom,
awk,,Awabakal,
awm,,Arawum,
awn,,Awngi,
awo,,Awak,
awr,,Awera,
aws,,South Awyu,
awt,,Arawete,
awu,,Central Awyu,
awv,,Jair Awyu,
aww,,Awun,
awx,,Awara,
awy,,Edera Awyu,
axb,,Abipon,
axe,,Ayerrerenge,
axg,,Mato Grosso Arara,
axk,,Yaka <Central African Republic>,
axl,,Lower Southern Aranda,
axm,,Middle Armenian,
axx,,Xaragure,
aya,,Awar,
ayb,,Ayizo Gbe,
ayc,,Southern Aymara,
ayd,,Ayabadhu,
aye,,Ayere,
ayg,,Ginyanga,
ayh,,Hadrami Arabic,
ayi,,Leyigha,
ayk,,Akuku,
ayl,,Libyan Arabic,Libyan Vernacular Arabic; Sulaimitian Arabic; Western Egyptian Bedawi Spoken Arabic; Libyan
aym,ay,Aymara,
ayn,,Sanaani Arabic,
ayo,,Ayoreo,
ayp,,North Mesopotamian Arabic,
ayq,,Ayi <Papua New Guinea>,
ayr,,Central Aymara,
ays,,Sorsogon Ayta,
ayt,,Magbukun Ayta,
ayu,,Ayu,
ayy,,Tayabas Ayta,
ayz,,Mai Brat,
aza,,Azha,
azb,,South Azerbaijani,
azd,,Eastern Durango Nahuatl,
aze,az,Azerbaijani,Azeri; Türki
azg,,San Pedro Amuzgos Amuzgo,
azj,,North Azerbaijani,
azm,,Ipalapa Amuzgo,
azn,,Western Durango Nahuatl,
azo,,Awing,
azt,,Faire Atta,
azz,,Highland Puebla Nahuatl,
baa,,Babatana,
bab,,Bainouk-Gunyuno,
bac,,Badui,
bae,,Bare,
baf,,Nubaca,
bag,,Tuki,
bah,,Bahamas Creole English,
baj,,Barakai,
bak,ba,Bashkir,
bal,,Baluchi,
bam,bm,Bambara,
ban,,Balinese,
bao,,Waimaha,
bap,,Bantawa,
bar,,Bavarian,
bas,,Basa <Cameroon>,
bau,,Bada <Nigeria>,
bav,,Vengo,
baw,,Bambili-Bambui,
bax,,Bamun,
bay,,Batuley,
bba,,Baatonum,
bbb,,Barai,
bbc,,Batak Toba,
bbd,,Bau,
bbe,,Bangba,
bbf,,Baibai,
bbg,,Barama,
bbh,,Bugan,
bbi,,Barombi,
bbj,,Ghomala',
bbk,,Babanki,
bbl,,Bats,
bbm,,Babango,
bbn,,Uneapa,
bbo,,Northern Bobo Madare,
bbp,,West Central Banda,
bbq,,Bamali,
bbr,,Girawa,
bbs,,Bakpinka,
bbt,,Mburku,
bbu,,Kulung <Nigeria>,
bbv,,Karnai,
bbw,,Baba,
bbx,,Bubia,
bby,,Befang,
bbz,,Babalia Creole Arabic,
bca,,Central Bai,
bcb,,Bainouk-Samik,
bcc,,Southern Balochi,
bcd,,North Babar,
bce,,Bamenyam,
bcf,,Bamu,
bcg,,Baga Pokur,
bch,,Bariai,
bci,,Baoule,
bcj,,Bardi,
bck,,Bunaba,
bcl,,Central Bikol,Bikol; Bicolano
bcm,,Bannoni,
bcn,,Bali <Nigeria>,
bco,,Kaluli,
bcp,,Bali <Democratic Republic of Congo>,
bcq,,Bench,
bcr,,Babine,
bcs,,Kohumono,
bct,,Bendi,
bcu,,Awad Bing,
bcv,,Shoo-Minda-Nye,
bcw,,Bana,
bcy,,Bacama,
bcz,,Bainouk-Gunyaamolo,
bda,,Bayot,
bdb,,Basap,
bdc,,Embera-Baudo,
bdd,,Bunama,
bde,,Bade,
bdf,,Biage,
bdg,,Bonggi,
bdh,,Baka <Sudan>,
bdi,,Burun,
bdj,,Bai,
bdk,,Budukh,
bdl,,Indonesian Bajau,
bdm,,Buduma,
bdn,,Baldemu,
bdo,,Morom,
bdp,,Bende,
bdq,,Bahnar,
bdr,,West Coast Bajau,
bds,,Burunge,
bdt,,Bokoto,
bdu,,Oroko,
bdv,,Bodo Parja,
bdw,,Baham,
bdx,,Budong-Budong,
bdy,,Bandjalang,
bdz,,Badeshi,
bea,,Beaver,
beb,,Bebele,
bec,,Iceve-Maci,
bed,,Bedoanas,
bee,,Byangsi,
bef,,Benabena,
beg,,Belait,
beh,,Biali,
bei,,Bekati',
bej,,Beja,
bek,,Bebeli,
bel,be,Belarusian,
bem,,Bemba <Zambia>,
ben,bn,Bengali,
beo,,Beami,
bep,,Besoa,
beq,,Beembe,
bes,,Besme,
bet,,Guiberoua Bete,
beu,,Blagar,
bev,,Daloa Bete,
bew,,Betawi,
bex,,Jur Modo,
bey,,Beli <Papua New Guinea>,
bez,,Bena <Tanzania>,
bfa,,Bari,
bfb,,Pauri Bareli,
bfc,,Panyi Bai,
bfd,,Bafut,
bfe,,Betaf,
bff,,Bofi,
bfg,,Busang Kayan,
bfh,,Blafe,
bfi,,British Sign Language,
bfj,,Bafanji,
bfk,,Ban Khor Sign Language,
bfl,,Banda-Ndele,
bfm,,Mmen,
bfn,,Bunak,
bfo,,Malba Birifor,
bfp,,Beba,
bfq,,Badaga,
bfr,,Bazigar,
bfs,,Southern Bai,
bft,,Balti,
bfu,,Gahri,
bfw,,Bondo,
bfx,,Bantayanon,
bfy,,Bagheli,
bfz,,Mahasu Pahari,
bga,,Gwamhi-Wuri,
bgb,,Bobongko,
bgc,,Haryanvi,
bgd,,Rathwi Bareli,
bge,,Bauria,
bgf,,Bangandu,
bgg,,Bugun,
bgi,,Giangan,
bgj,,Bangolan,
bgk,,Bit,
bgl,,Bo <Laos>,
bgn,,Western Balochi,
bgo,,Baga Koga,
bgp,,Eastern Balochi,
bgq,,Bagri,
bgr,,Bawm Chin,
bgs,,Tagabawa,
bgt,,Bughotu,
bgu,,Mbongno,
bgv,,Warkay-Bipim,
bgw,,Bhatri,
bgx,,Balkan Gagauz Turkish,
bgy,,Benggoi,
bgz,,Banggai,
bha,,Bharia,
bhb,,Bhili,
bhc,,Biga,
bhd,,Bhadrawahi,
bhe,,Bhaya,
bhf,,Odiai,
bhg,,Binandere,
bhh,,Bukharic,
bhi,,Bhilali,
bhj,,Bahing,
bhl,,Bimin,
bhm,,Bathari,
bhn,,Bohtan Neo-Aramaic,
bho,,Bhojpuri,
bhp,,Bima,
bhq,,Tukang Besi South,
bhr,,Bara Malagasy,
bhs,,Buwal,
bht,,Bhattiyali,
bhu,,Bhunjia,
bhv,,Bahau,
bhw,,Biak,
bhx,,Bhalay,
bhy,,Bhele,
bhz,,Bada <Indonesia>,
bia,,Badimaya,
bib,,Bissa,
bic,,Bikaru,
bid,,Bidiyo,
bie,,Bepour,
bif,,Biafada,
big,,Biangai,
bij,,Vaghat-Ya-Bijim-Legeri,
bik,,Bikol,
bil,,Bile,
bim,,Bimoba,
bin,,Bini,
bio,,Nai,
bip,,Bila,
biq,,Bipi,
bir,,Bisorio,
bis,bi,Bislama,
bit,,Berinomo,
biu,,Biete,
biv,,Southern Birifor,
biw,,Kol <Cameroon>,
bix,,Bijori,
biy,,Birhor,
biz,,Baloi,
bja,,Budza,
bjb,,Banggarla,
bjc,,Bariji,
bje,,Biao-Jiao Mien,
bjf,,Barzani Jewish Neo-Aramaic,
bjg,,Bidyogo,
bjh,,Bahinemo,
bji,,Burji,
bjj,,Kanauji,
bjk,,Barok,
bjl,,Bulu <Papua New Guinea>,
bjm,,Bajelani,
bjn,,Banjar,
bjo,,Mid-Southern Banda,
bjp,,Fanamaket,
bjr,,Binumarien,
bjs,,Bajan,
bjt,,Balanta-Ganja,
bju,,Busuu,
bjv,,Bedjond,
bjw,,Bakwe,
bjx,,Banao Itneg,
bjy,,Bayali,
bjz,,Baruga,
bka,,Kyak,
bkc,,Baka <Cameroon>,
bkd,,Binukid,
bkf,,Beeke,
bkg,,Buraka,
bkh,,Bakoko,
bki,,Baki,
bkj,,Pande,
bkk,,Brokskat,
bkl,,Berik,
bkm,,Kom <Cameroon>,
bkn,,Bukitan,
bko,,Kwa',
bkp,,Boko <Democratic Republic of Congo>,
bkq,,Bakairi,
bkr,,Bakumpai,
bks,,Northern Sorsoganon,
bkt,,Boloki,
bku,,Buhid,
bkv,,Bekwarra,
bkw,,Bekwel,
bkx,,Baikeno,
bky,,Bokyi,
bkz,,Bungku,
bla,,Siksika,
blb,,Bilua,
blc,,Bella Coola,
bld,,Bolango,
ble,,Balanta-Kentohe,
blf,,Buol,
blg,,Balau,
blh,,Kuwaa,
bli,,Bolia,
blj,,Bolongan,
blk,,Pa'o Karen,
bll,,Biloxi,
blm,,Beli <Sudan>,
bln,,Southern Catanduanes Bikol,
blo,,Anii,
blp,,Blablanga,
blq,,Baluan-Pam,
blr,,Blang,
bls,,Balaesang,
blt,,Tai Dam,
blv,,Kibala,
blw,,Balangao,
blx,,Mag-Indi Ayta,
bly,,Notre,
blz,,Balantak,
bma,,Lame,
bmb,,Bembe,
bmc,,Biem,
bmd,,Baga Manduri,
bme,,Limassa,
bmf,,Bom-Kim,
bmg,,Bamwe,
bmh,,Kein,
bmi,,Bagirmi,
bmj,,Bote-Majhi,
bmk,,Ghayavi,
bml,,Bomboli,
bmm,,Northern Betsimisaraka Malagasy,
bmn,,Bina <Papua New Guinea>,
bmo,,Bambalang,
bmp,,Bulgebi,
bmq,,Bomu,
bmr,,Muinane,
bms,,Bilma Kanuri,
bmt,,Biao Mon,
bmu,,Somba-Siawari,
bmv,,Bum,
bmw,,Bomwali,
bmx,,Baimak,
bmz,,Baramu,
bna,,Bonerate,
bnb,,Bookan,
bnc,,Bontok,
bnd,,Banda <Indonesia>,
bne,,Bintauna,
bnf,,Masiwang,
bng,,Benga,
bni,,Bangi,
bnj,,Eastern Tawbuid,
bnk,,Bierebo,
bnl,,Boon,
bnm,,Batanga,
bnn,,Bunun,
bno,,Bantoanon,
bnp,,Bola,
bnq,,Bantik,
bnr,,Butmas-Tur,
bns,,Bundeli,
bnu,,Bentong,
bnv,,Bonerif,
bnw,,Bisis,
bnx,,Bangubangu,
bny,,Bintulu,
bnz,,Beezen,
boa,,Bora,
bob,,Aweer,
bod,bo,Tibetan,
boe,,Mundabli,
bof,,Bolon,
bog,,Bamako Sign Language,
boh,,Boma,
boi,,Barbareno,
boj,,Anjam,
bok,,Bonjo,
bol,,Bole,
bom,,Berom,
bon,,Bine,
boo,,Tiemacewe Bozo,
bop,,Bonkiman,
boq,,Bogaya,
bor,,Bororo,
bos,bs,Bosnian,
bot,,Bongo,
bou,,Bondei,
bov,,Tuwuli,
bow,,Rema,
box,,Buamu,
boy,,Bodo <Central African Republic>,
boz,,Tieyaxo Bozo,
bpa,,Daakaka,
bpb,,Barbacoas,
bpd,,Banda-Banda,
bpg,,Bonggo,
bph,,Botlikh,
bpi,,Bagupi,
bpj,,Binji,
bpk,,Orowe,
bpl,,Broome Pearling Lugger Pidgin,
bpm,,Biyom,
bpn,,Dzao Min,
bpo,,Anasi,
bpp,,Kaure,
bpq,,Banda Malay,
bpr,,Koronadal Blaan,
bps,,Sarangani Blaan,
bpt,,Barrow Point,
bpu,,Bongu,
bpv,,Bian Marind,
bpw,,Bo <Papua New Guinea>,
bpx,,Palya Bareli,
bpy,,Bishnupriya,
bpz,,Bilba,
bqa,,Tchumbuli,
bqb,,Bagusa,
bqc,,Boko <Benin>,
bqd,,Bung,
bqf,,Baga Kaloum,
bqg,,Bago-Kusuntu,
bqh,,Baima,
bqi,,Bakhtiari,
bqj,,Bandial,
bqk,,Banda-Mbres,
bql,,Bilakura,
bqm,,Wumboko,
bqn,,Bulgarian Sign Language,
bqo,,Balo,
bqp,,Busa,
bqq,,Biritai,
bqr,,Burusu,
bqs,,Bosngun,
bqt,,Bamukumbit,
bqu,,Boguru,
bqv,,Koro Wachi,
bqw,,Buru <Nigeria>,
bqx,,Baangi,
bqy,,Bengkala Sign Language,
bqz,,Bakaka,
bra,,Braj,
brb,,Lave,
brc,,Berbice Creole Dutch,
brd,,Baraamu,
bre,br,Breton,
brf,,Bera,
brg,,Baure,
brh,,Brahui,
bri,,Mokpwe,
brj,,Bieria,
brk,,Birked,
brl,,Birwa,
brm,,Barambu,
brn,,Boruca,
bro,,Brokkat,
brp,,Barapasi,
brq,,Breri,
brr,,Birao,
brs,,Baras,
brt,,Bitare,
bru,,Eastern Bru,
brv,,Western Bru,
brw,,Bellari,
brx,,Bodo <India>,
bry,,Burui,
brz,,Bilbil,
bsa,,Abinomn,
bsb,,Brunei Bisaya,
bsc,,Bassari,
bse,,Wushi,
bsf,,Bauchi,
bsg,,Bashkardi,
bsh,,Kati,
bsi,,Bassossi,
bsj,,Bangwinji,
bsk,,Burushaski,
bsl,,Basa-Gumna,
bsm,,Busami,
bsn,,Barasana-Eduria,
bso,,Buso,
bsp,,Baga Sitemu,
bsq,,Bassa,
bsr,,Bassa-Kontagora,
bss,,Akoose,
bst,,Basketo,
bsu,,Bahonsuai,
bsv,,Baga Sobane,
bsw,,Baiso,
bsx,,Yangkam,
bsy,,Sabah Bisaya,
bta,,Bata,
btc,,Bati <Cameroon>,
btd,,Batak Dairi,
bte,,Gamo-Ningi,
btf,,Birgit,
btg,,Gagnoa Bete,
bth,,Biatah Bidayuh,
bti,,Burate,
btj,,Bacanese Malay,
btm,,Batak Mandailing,
btn,,Ratagnon,
bto,,Rinconada Bikol,
btp,,Budibud,
btq,,Batek,
btr,,Baetora,
bts,,Batak Simalungun,
btt,,Bete-Bendi,
btu,,Batu,
btv,,Bateri,
btw,,Butuanon,
btx,,Batak Karo,
bty,,Bobot,
btz,,Batak Alas-Kluet,
bua,,Buriat,
bub,,Bua,
buc,,Bushi,
bud,,Ntcham,
bue,,Beothuk,
buf,,Bushoong,
bug,,Buginese,
buh,,Younuo Bunu,
bui,,Bongili,
buj,,Basa-Gurmana,
buk,,Bugawac,
bul,bg,Bulgarian,
bum,,Bulu <Cameroon>,
bun,,Sherbro,
buo,,Terei,
bup,,Busoa,
buq,,Brem,
bus,,Bokobaru,
but,,Bungain,
buu,,Budu,
buv,,Bun,
buw,,Bubi,
bux,,Boghom,
buy,,Bullom So,
buz,,Bukwen,
bva,,Barein,
bvb,,Bube,
bvc,,Baelelea,
bvd,,Baeggu,
bve,,Berau Malay,
bvf,,Boor,
bvg,,Bonkeng,
bvh,,Bure,
bvi,,Belanda Viri,
bvj,,Baan,
bvk,,Bukat,
bvl,,Bolivian Sign Language,
bvm,,Bamunka,
bvn,,Buna,
bvo,,Bolgo,
bvp,,Bumang,
bvq,,Birri,
bvr,,Burarra,
bvt,,Bati <Indonesia>,
bvu,,Bukit Malay,
bvv,,Baniva,
bvw,,Boga,
bvx,,Dibole,
bvy,,Baybayanon,
bvz,,Bauzi,
bwa,,Bwatoo,
bwb,,Namosi-Naitasiri-Serua,
bwc,,Bwile,
bwd,,Bwaidoka,
bwe,,Bwe Karen,
bwf,,Boselewa,
bwg,,Barwe,
bwh,,Bishuo,
bwi,,Baniwa,
bwj,,Laa Laa Bwamu,
bwk,,Bauwaki,
bwl,,Bwela,
bwm,,Biwat,
bwn,,Wunai Bunu,
bwo,,Boro <Ethiopia>,
bwp,,Mandobo Bawah,
bwq,,Southern Bobo Madare,
bwr,,Bura-Pabir,
bws,,Bomboma,
bwt,,Bafaw-Balong,
bwu,,Buli <Ghana>,
bww,,Bwa,
bwx,,Bu-Nao Bunu,
bwy,,Cwi Bwamu,
bwz,,Bwisi,
bxa,,Tairaha,
bxb,,Belanda Bor,
bxc,,Molengue,
bxd,,Pela,
bxe,,Birale,
bxf,,Bilur,
bxg,,Bangala,
bxh,,Buhutu,
bxi,,Pirlatapa,
bxj,,Bayungu,
bxk,,Bukusu,
bxl,,Jalkunan,
bxm,,Mongolia Buriat,
bxn,,Burduna,
bxo,,Barikanchi,
bxp,,Bebil,
bxq,,Beele,
bxr,,Russia Buriat,
bxs,,Busam,
bxu,,China Buriat,
bxv,,Berakou,
bxw,,Bankagooma,
bxz,,Binahari,
bya,,Batak,
byb,,Bikya,
byc,,Ubaghara,
byd,,Benyadu',
bye,,Pouye,
byf,,Bete,
byg,,Baygo,
byh,,Bhujel,
byi,,Buyu,
byj,,Bina <Nigeria>,
byk,,Biao,
byl,,Bayono,
bym,,Bidyara,
byn,,Bilin,
byo,,Biyo,
byp,,Bumaji,
byq,,Basay,
byr,,Baruya,
bys,,Burak,
byt,,Berti,
byv,,Medumba,
byw,,Belhariya,
byx,,Qaqet,
byz,,Banaro,
bza,,Bandi,
bzb,,Andio,
bzc,,Southern Betsimisaraka Malagasy,
bzd,,Bribri,
bze,,Jenaama Bozo,
bzf,,Boikin,
bzg,,Babuza,
bzh,,Mapos Buang,
bzi,,Bisu,
bzj,,Belize Kriol English,
bzk,,Nicaragua Creole English,
bzl,,Boano <Sulawesi>,
bzm,,Bolondo,
bzn,,Boano <Maluku>,
bzo,,Bozaba,
bzp,,Kemberano,
